program,avg_wall,var_wall,pct_std_wall,avg_cpu_pct,avg_peak_mem_kb
delannoy,3.362667,0.000113,0.315967,99.00,1359.20
filegen,1.620667,0.000646,1.568546,51.60,2506.40
mmul,1.996667,0.001702,2.066344,99.00,24583.73
nbody,2.555333,0.000038,0.241942,99.00,1874.13
qap,3.222000,0.000083,0.282189,99.00,1516.80
