benchmark,run,wall_s,user_s,sys_s,cpu_pct,max_rss_kb
filesearch_load,16,0.08,0.0,0.07,96.0,3140
filesearch_load,17,0.02,0.0,0.01,104.0,3140
filesearch_load,18,0.1,0.01,0.06,75.0,3192
filesearch_load,19,0.08,0.0,0.07,96.0,3124
filesearch_load,20,0.09,0.0,0.06,81.0,3144
filesearch_load,21,0.03,0.0,0.02,103.0,3108
filesearch_load,22,0.1,0.0,0.07,75.0,3188
filesearch_load,23,0.09,0.0,0.08,89.0,3232
filesearch_load,24,0.07,0.0,0.07,97.0,3184
filesearch_load,25,0.08,0.0,0.07,87.0,3192
filesearch_load,26,0.22,0.01,0.09,46.0,3728
filesearch_load,27,0.09,0.01,0.08,96.0,3088
filesearch_load,28,0.14,0.0,0.09,72.0,3160
filesearch_load,29,0.08,0.0,0.07,98.0,3156
filesearch_load,30,0.48,0.0,0.04,10.0,3224
