benchmark,runs,wall_s_var_pct,user_s_var_pct,sys_s_var_pct,cpu_pct_var_pct,max_rss_kb_var_pct
delannoy,10,0.24576818304235395,0.24160200171583326,0,0.0,2.8134502127617793
delannoy_load,30,1.0313400378086417,1.0636330272608518,39.37598585720547,0.18901947374989475,1.2585360822444043
filegen,30,12.37765989358923,3.8237307689664073,17.883134614156905,9.809588654463518,1.9487337812763523
filegen_load,30,5.4902265843935405,4.072978858494851,11.32894804455176,4.679680302736655,1.316076905575172
filesearch,10,0,0,0,0.0,3.0779337866905587
filesearch_load,30,3.469446951953613e-14,0,0,9.710099486195151,1.9387142219149298
mmul,10,3.3391291527716165,3.2641433892742837,0,0.0,0.24043953661392886
mmul_load,10,3.5233011177973284,3.0595839632609323,1.7347234759768074e-14,0.9607076928628593,0.2473722315480409
nbody,10,0.4434914756579705,0.5014192824927839,0,0.0,0.8974849682514651
nbody_load,30,0.8514870781209093,0.5325219484811186,165.83123951777006,0.8314297972726777,1.8122089459888862
qap,10,0.2671799248285003,0.24155309146378026,0,0.0,4.241063370868095
qap_load,30,1.8977976708337685,1.87822564074876,223.60679774997894,0.7432346580293615,1.7415313518621234
